Company,Utility,Location,Date,Gallons,X,Y
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,3/1/2024 0:00,0,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,4/1/2024 0:00,133802.1,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,5/1/2024 0:00,108187.3,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,6/1/2024 0:00,443062,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,7/1/2024 0:00,720307.8,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,8/1/2024 0:00,398441.2,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,9/1/2024 0:00,8052.7,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,10/1/2024 0:00,7019.5,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,11/1/2024 0:00,4978,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,12/1/2024 0:00,5092,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,1/1/2025 0:00,4019,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,2/1/2025 0:00,3881.4,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,3/1/2025 0:00,4787,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,4/1/2025 0:00,134228.6,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,5/1/2025 0:00,17373.1,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,6/1/2025 0:00,232975.1,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,7/1/2025 0:00,244919.1,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,8/1/2025 0:00,59269.2,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,9/1/2025 0:00,17756.7,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,10/1/2025 0:00,6876.8,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,11/1/2025 0:00,4147,38.82,-77.65
Amazon,Prince William Water Authority ,15445 John Marshall Hwy,12/1/2025 0:00,4053,38.82,-77.65
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,1/1/2023 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,2/1/2023 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,3/1/2023 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,4/1/2023 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,5/1/2023 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,6/1/2023 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,7/1/2023 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,8/1/2023 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,9/1/2023 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,10/1/2023 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,11/1/2023 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,12/1/2023 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,1/1/2024 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,2/1/2024 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,3/1/2024 0:00,0,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,4/1/2024 0:00,-0.9,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,5/1/2024 0:00,15144.4,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,6/1/2024 0:00,295592.1,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,7/1/2024 0:00,160696.7,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,8/1/2024 0:00,176723.2,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,9/1/2024 0:00,51424.1,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,10/1/2024 0:00,13761,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,11/1/2024 0:00,13973.4,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,12/1/2024 0:00,6410,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,1/1/2025 0:00,7982,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,2/1/2025 0:00,7219,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,3/1/2025 0:00,206856.2,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,4/1/2025 0:00,142718.6,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,5/1/2025 0:00,100182.7,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,6/1/2025 0:00,151756.3,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,7/1/2025 0:00,109700,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,8/1/2025 0:00,28048.2,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,9/1/2025 0:00,22148.9,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,10/1/2025 0:00,5710.2,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,11/1/2025 0:00,4906,38.8,-77.62
Amazon,Prince William Water Authority ,14495 John Marshall Hwy,12/1/2025 0:00,5281,38.8,-77.62
Amazon,Prince William Water Authority ,7510 Mason King Ct ,1/1/2023 0:00,36867.7,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,2/1/2023 0:00,107896.5,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,3/1/2023 0:00,103649.4,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,4/1/2023 0:00,939564.2,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,5/1/2023 0:00,937532.8,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,6/1/2023 0:00,2384833.2,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,7/1/2023 0:00,3831469.2,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,8/1/2023 0:00,3354761,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,9/1/2023 0:00,2168540.3,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,10/1/2023 0:00,941512.7,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,11/1/2023 0:00,127093.7,38.79,-77.54
